t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
1.46700000e+05,2.279128834160156e+11,3.515845986057501e+09,2.281130718125243e+11,3.615590088073801e+09,-3.721899875883415e+02,2.412702194186575e+04,1.027390823500024e+03,2.476471608122440e+04,2.236610828528014e+08,7.763896263907422e+06
1.46880000e+05,2.279128163804414e+11,3.520188849368049e+09,2.281132567139696e+11,3.620047742493399e+09,-3.726497262253752e+02,2.412701484543159e+04,1.027069670392173e+03,2.476477744286673e+04,2.239377722635962e+08,7.763193100725768e+06
1.47060000e+05,2.279127492621142e+11,3.524531711400451e+09,2.281134415575775e+11,3.624505407941504e+09,-3.731094647271034e+02,2.412700774023715e+04,1.026748181346541e+03,2.476483862025752e+04,2.242144898829198e+08,7.762492170708384e+06
1.47240000e+05,2.279126820610341e+11,3.528874572153128e+09,2.281136263432870e+11,3.628963084385008e+09,-3.735692030933592e+02,2.412700062628242e+04,1.026426357564471e+03,2.476489961404946e+04,2.244912355668585e+08,7.761793466388475e+06
1.47420000e+05,2.279126147772011e+11,3.533217431624506e+09,2.281138110710381e+11,3.633420771790921e+09,-3.740289413239756e+02,2.412699350356742e+04,1.026104200241744e+03,2.476496042489207e+04,2.247680093752705e+08,7.761096979808453e+06
1.47600000e+05,2.279125474106152e+11,3.537560289813006e+09,2.281139957407711e+11,3.637878470126383e+09,-3.744886794187858e+02,2.412698637209213e+04,1.025781710568596e+03,2.476502105343183e+04,2.250448111532644e+08,7.760402703139476e+06
1.47780000e+05,2.279124799612765e+11,3.541903146717052e+09,2.281141803524260e+11,3.642336179358619e+09,-3.749484173776226e+02,2.412697923185657e+04,1.025458889729777e+03,2.476508150031222e+04,2.253216408724046e+08,7.759710628773932e+06
1.47960000e+05,2.279124124291850e+11,3.546246002335068e+09,2.281143649059435e+11,3.646793899454998e+09,-3.754081552003194e+02,2.412697208286074e+04,1.025135738904564e+03,2.476514176617286e+04,2.255984984300174e+08,7.759020749008821e+06
1.48140000e+05,2.279123448143407e+11,3.550588856665476e+09,2.281145494012643e+11,3.651251630382997e+09,-3.758678928867090e+02,2.412696492510463e+04,1.024812259266776e+03,2.476520185165109e+04,2.258753837726378e+08,7.758333056159524e+06
1.48320000e+05,2.279122771167436e+11,3.554931709706699e+09,2.281147338383294e+11,3.655709372110191e+09,-3.763276304366247e+02,2.412695775858826e+04,1.024488451984844e+03,2.476526175738094e+04,2.261522968354891e+08,7.757647542619284e+06
1.48500000e+05,2.279122093363938e+11,3.559274561457161e+09,2.281149182170796e+11,3.660167124604308e+09,-3.767873678498995e+02,2.412695058331162e+04,1.024164318221807e+03,2.476532148399331e+04,2.264292375286027e+08,7.756964200931837e+06
1.48680000e+05,2.279121414732912e+11,3.563617411916006e+09,2.281151025374566e+11,3.664624887833142e+09,-3.772471051264426e+02,2.412694339927472e+04,1.023839859135353e+03,2.476538103211611e+04,2.267062058619112e+08,7.756283022805278e+06
1.48860000e+05,2.279120735274359e+11,3.567960261081638e+09,2.281152867994015e+11,3.669082661764618e+09,-3.777068422660855e+02,2.412693620647756e+04,1.023515075877854e+03,2.476544040237426e+04,2.269832016350676e+08,7.755604000915937e+06
1.49040000e+05,2.279120054988279e+11,3.572303108951778e+09,2.281154710028564e+11,3.673540446366786e+09,-3.781665792685865e+02,2.412692900492014e+04,1.023189969596399e+03,2.476549959538956e+04,2.272602248840609e+08,7.754927128332563e+06
1.49220000e+05,2.279119373874673e+11,3.576645955524849e+09,2.281156551477633e+11,3.677998241607791e+09,-3.786263161337789e+02,2.412692179460246e+04,1.022864541432810e+03,2.476555861178098e+04,2.275372755317062e+08,7.754252397715182e+06
1.49400000e+05,2.279118691933541e+11,3.580988800799275e+09,2.281158392340642e+11,3.682456047455904e+09,-3.790860528614958e+02,2.412691457552453e+04,1.022538792523673e+03,2.476561745216447e+04,2.278143535035692e+08,7.753579801628320e+06
1.49580000e+05,2.279118009164883e+11,3.585331644773478e+09,2.281160232617016e+11,3.686913863879493e+09,-3.795457894515702e+02,2.412690734768636e+04,1.022212724000396e+03,2.476567611715310e+04,2.280914586864075e+08,7.752909332789321e+06
1.49760000e+05,2.279117325568699e+11,3.589674487445882e+09,2.281162072306179e+11,3.691371690847040e+09,-3.800055259038352e+02,2.412690011108793e+04,1.021886336989188e+03,2.476573460735665e+04,2.283685910548149e+08,7.752240983944881e+06
1.49940000e+05,2.279116641144989e+11,3.594017328814909e+09,2.281163911407560e+11,3.695829528327154e+09,-3.804652622181238e+02,2.412689286572926e+04,1.021559632611133e+03,2.476579292338243e+04,2.286457505720613e+08,7.751574747802151e+06
1.50120000e+05,2.279115955893755e+11,3.598360168878985e+09,2.281165749920591e+11,3.700287376288526e+09,-3.809249983942692e+02,2.412688561161035e+04,1.021232611982195e+03,2.476585106583468e+04,2.289229371007029e+08,7.750910617049960e+06
1.50300000e+05,2.279115269814995e+11,3.602703007636530e+09,2.281167587844700e+11,3.704745234699969e+09,-3.813847344321044e+02,2.412687834873120e+04,1.020905276213248e+03,2.476590903531473e+04,2.292001506665006e+08,7.750248584664770e+06
1.50480000e+05,2.279114582908710e+11,3.607045845085968e+09,2.281169425179321e+11,3.709203103530401e+09,-3.818444703314625e+02,2.412687107709182e+04,1.020577626410124e+03,2.476596683242110e+04,2.294773911099367e+08,7.749588643518926e+06
1.50660000e+05,2.279113895174901e+11,3.611388681225723e+09,2.281171261923890e+11,3.713660982748843e+09,-3.823042060921765e+02,2.412686379669220e+04,1.020249663673607e+03,2.476602445774939e+04,2.297546583931692e+08,7.748930786454208e+06
1.50840000e+05,2.279113206613568e+11,3.615731516054218e+09,2.281173098077846e+11,3.718118872324433e+09,-3.827639417140796e+02,2.412685650753235e+04,1.019921389099486e+03,2.476608191189255e+04,2.300319524808919e+08,7.748275006359254e+06
1.51020000e+05,2.279112517224711e+11,3.620074349569875e+09,2.281174933640627e+11,3.722576772226389e+09,-3.832236771970048e+02,2.412684920961226e+04,1.019592803778592e+03,2.476613919544047e+04,2.303092733493137e+08,7.747621296316874e+06
