i,b,d_min,delta_v,delta_v_rel,deflection_angle,collision,t
210,2.538579497907950e+07,2.072050795653443e+07,-2.815598042993479e+02,-4.883984511187009e+00,2.685217852142725e+01,0,1.215000001086806e+05
211,2.566943514644352e+07,2.100647318318350e+07,-2.757764733532858e+02,-4.858944325801076e+00,2.655933915545845e+01,0,1.215000001086806e+05
212,2.595307531380754e+07,2.129260911056215e+07,-2.701681828284600e+02,-4.835186927929044e+00,2.627248462786660e+01,0,1.215000001086806e+05
213,2.623671548117155e+07,2.157891032147859e+07,-2.647280932933281e+02,-4.812705620289762e+00,2.599143447357010e+01,0,1.215000001086806e+05
214,2.652035564853557e+07,2.186537199483887e+07,-2.594496889417569e+02,-4.791483409574539e+00,2.571601558539238e+01,0,1.215000001086806e+05
215,2.680399581589958e+07,2.215198924153895e+07,-2.543267512987077e+02,-4.771510667887924e+00,2.544606061355249e+01,0,1.215000001086806e+05
216,2.708763598326360e+07,2.243875750745771e+07,-2.493533790212496e+02,-4.752778405011213e+00,2.518140991183361e+01,0,1.215000001086806e+05
217,2.737127615062762e+07,2.272567221099611e+07,-2.445239483996775e+02,-4.735283951928977e+00,2.492190974888232e+01,0,1.215000001086806e+05
218,2.765491631799164e+07,2.301272904217327e+07,-2.398330543658194e+02,-4.719003112687005e+00,2.466741101267135e+01,0,1.215000001086806e+05
219,2.793855648535565e+07,2.329992383330682e+07,-2.352755824338165e+02,-4.703932019931472e+00,2.441777151409573e+01,0,1.215000001086806e+05
220,2.822219665271967e+07,2.358725265695820e+07,-2.308466440643024e+02,-4.690066896802819e+00,2.417285396956474e+01,0,1.215000001086806e+05
221,2.850583682008369e+07,2.387471191206457e+07,-2.268225215796665e+02,-4.941479161960615e+00,2.393348921263414e+01,0,1.216800001093721e+05
222,2.878947698744771e+07,2.416229767920528e+07,-2.226370089142074e+02,-4.929976798305688e+00,2.369763224229140e+01,0,1.216800001093721e+05
223,2.907311715481172e+07,2.445000639956019e+07,-2.185666009489614e+02,-4.919640919078120e+00,2.346611436213231e+01,0,1.216800001093721e+05
224,2.935675732217574e+07,2.473783472537882e+07,-2.146072050176408e+02,-4.910457404472709e+00,2.323881659863629e+01,0,1.216800001093721e+05
225,2.964039748953975e+07,2.502577925834120e+07,-2.107549251554738e+02,-4.902419531010764e+00,2.301562486668743e+01,0,1.216800001093721e+05
226,2.992403765690377e+07,2.531383707239713e+07,-2.070060265218781e+02,-4.895518147606253e+00,2.279642879738402e+01,0,1.216800001093721e+05
227,3.020767782426779e+07,2.560200499823070e+07,-2.033569378581924e+02,-4.889744432633506e+00,2.258112205442147e+01,0,1.216800001093721e+05
228,3.049131799163180e+07,2.589027997157257e+07,-1.998042399615042e+02,-4.885089528178924e+00,2.236960199212606e+01,0,1.216800001093721e+05
229,3.077495815899582e+07,2.617865918923698e+07,-1.963446574231893e+02,-4.881544653436777e+00,2.216176945419030e+01,0,1.216800001093721e+05
230,3.105859832635984e+07,2.646713994328790e+07,-1.929750522662944e+02,-4.879101143109438e+00,2.195752867120305e+01,0,1.216800001093721e+05
231,3.134223849372385e+07,2.675571960333453e+07,-1.896924159334631e+02,-4.877750653960902e+00,2.175678703186263e+01,0,1.216800001093721e+05
232,3.162587866108787e+07,2.704439564766144e+07,-1.864938660188200e+02,-4.877484470949184e+00,2.155945517920856e+01,0,1.216800001093721e+05
233,3.190951882845189e+07,2.733316547033300e+07,-1.833766389083503e+02,-4.878294376674603e+00,2.136544675565539e+01,0,1.216800001093721e+05
234,3.219315899581590e+07,2.762202665180559e+07,-1.803380825140230e+02,-4.880172160767415e+00,2.117467821256317e+01,0,1.216800001093721e+05
235,3.247679916317992e+07,2.791097691989937e+07,-1.773756517948314e+02,-4.883109604137189e+00,2.098706875099860e+01,0,1.216800001093721e+05
236,3.276043933054394e+07,2.820001425353428e+07,-1.744869016717676e+02,-4.887098566846362e+00,2.080254007879470e+01,0,1.216800001093721e+05
237,3.304407949790796e+07,2.848913628164529e+07,-1.716694882624033e+02,-4.892131212007371e+00,2.062101667736239e+01,0,1.216800001093721e+05
238,3.332771966527197e+07,2.877834090334513e+07,-1.689211585472331e+02,-4.898199452753033e+00,2.044242536939957e+01,0,1.216800001093721e+05
239,3.361135983263599e+07,2.906762608110297e+07,-1.662397477710947e+02,-4.905295602023216e+00,2.026669529186561e+01,0,1.216800001093721e+05
240,3.389500000000001e+07,2.935698996525040e+07,-1.636231747259444e+02,-4.913411840163462e+00,2.009375779526391e+01,0,1.216800001093721e+05
