i,b,d_min,delta_v,deflection_angle,collision,t
91,-8.367384937238492e+06,4.406130592065077e+06,1.215422662098717e-01,7.218306930259348e+01,0,1.180800000955420e+05
92,-8.083744769874475e+06,4.170114984574171e+06,1.142055899454135e-01,7.407861540945697e+01,0,1.180800000955420e+05
93,-7.800104602510458e+06,3.937092613495089e+06,1.072518434834819e-01,7.606027714420850e+01,0,1.179000000948505e+05
94,-7.516464435146442e+06,3.707272018503769e+06,1.007116670589312e-01,7.813337830393132e+01,0,1.179000000948505e+05
95,-7.232824267782425e+06,3.480878256272811e+06,9.462562924090889e-02,8.030241006170398e+01,0,1.177200000941590e+05
96,-6.949184100418408e+06,3.298858191310818e+06,8.408725743129253e-02,3.666969969566696e+01,1,5.867999991722863e+04
97,-6.665543933054391e+06,3.229628638011113e+06,7.653406429335519e-02,3.216244532217527e+01,1,5.849999991784679e+04
98,-6.381903765690374e+06,3.290628741751454e+06,6.921511646169165e-02,2.732146042227969e+01,1,5.831999991846496e+04
99,-6.098263598326358e+06,2.998412329686101e+06,6.357725007364934e-02,2.914936695743637e+01,1,5.831999991846496e+04
100,-5.814623430962341e+06,3.193465342807153e+06,5.673017834624261e-02,2.373013950266257e+01,1,5.813999991908312e+04
101,-5.530983263598325e+06,2.902823375674207e+06,5.132442399099091e-02,2.503869115419891e+01,1,5.813999991908312e+04
102,-5.247343096234308e+06,3.245832077685164e+06,4.538466997655632e-02,1.958881857614657e+01,1,5.795999991970129e+04
103,-4.963702928870291e+06,2.972273444451203e+06,4.024268649436635e-02,2.026860953091741e+01,1,5.795999991970129e+04
104,-4.680062761506274e+06,2.697638257184766e+06,3.529592569793749e-02,2.106275281100863e+01,1,5.795999991970129e+04
105,-4.396422594142257e+06,3.212497928875457e+06,3.078883354692152e-02,1.555592017625059e+01,1,5.777999992031945e+04
106,-4.112782426778241e+06,2.973168594322790e+06,2.628220652559321e-02,1.568101498246480e+01,1,5.777999992031945e+04
107,-3.829142259414224e+06,2.736389275424669e+06,2.190978293992885e-02,1.579407273312242e+01,1,5.777999992031945e+04
108,-3.545502092050207e+06,2.502435933139306e+06,1.761219716445339e-02,1.589111327345578e+01,1,5.777999992031945e+04
109,-3.261861924686190e+06,3.218598150704754e+06,1.546240298603152e-02,1.087128946447806e+01,1,5.759999992093762e+04
110,-2.978221757322174e+06,3.038051983171731e+06,1.202768993289283e-02,1.047108060966854e+01,1,5.759999992093762e+04
111,-2.694581589958156e+06,2.866384992478513e+06,8.782953814716166e-03,9.989924919675090e+00,1,5.759999992093762e+04
112,-2.410941422594140e+06,2.704786161427036e+06,5.718746790080331e-03,9.416449225046399e+00,1,5.759999992093762e+04
113,-2.127301255230123e+06,2.554612879099992e+06,2.829620872034866e-03,8.739086833731330e+00,1,5.759999992093762e+04
114,-1.843661087866107e+06,2.417393669335940e+06,1.182992664325866e-04,7.947031250180864e+00,1,5.759999992093762e+04
115,-1.560020920502090e+06,3.359077057269535e+06,1.336174181233218e-03,4.743383224744756e+00,1,5.741999992155578e+04
116,-1.276380753138073e+06,3.278381828462799e+06,-2.249367958029325e-04,3.967607136814973e+00,1,5.741999992155578e+04
117,-9.927405857740561e+05,3.212650911826504e+06,-1.491488855208445e-03,3.142826938127631e+00,1,5.741999992155578e+04
118,-7.091004184100394e+05,3.162630455842522e+06,-2.453145000345103e-03,2.276717178418923e+00,1,5.741999992155578e+04
119,-4.254602510460226e+05,3.128925241748674e+06,-3.100433502368105e-03,1.379178730807834e+00,1,5.741999992155578e+04
120,-1.418200836820059e+05,3.111962129110806e+06,-3.426064821269392e-03,4.619606924293351e-01,1,5.741999992155578e+04
121,1.418200836820109e+05,3.111962129110806e+06,-3.426064821269392e-03,4.619606924293351e-01,1,5.741999992155578e+04
122,4.254602510460276e+05,3.128925241748674e+06,-3.100433502368105e-03,1.379178730807834e+00,1,5.741999992155578e+04
